run_id,baseline,model_profile,model_name,base_model_memory_mb,reserve_target_mb,full_res,global_res,roi_res,roi_count_requested,roi_count_effective,adapter_count,active_top_k_requested,active_top_k_effective,adapter_structure,visual_tokens,visual_memory_mb,resident_adapter_memory_mb,temporary_load_buffer_mb,estimated_peak_memory_mb,estimated_peak_memory_gb,reserve_pass,reserve_headroom_mb,load_count,evict_count,hold_count,latency_proxy_ms,policy_trace
costsim-00087,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,32,2,2,independent_all_resident,5696,3531.52,5760,96,18387.52,17.957,True,2604.48,2,0,0,140.66,n/a
costsim-00088,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,32,4,4,independent_all_resident,5696,3531.52,5760,96,18387.52,17.957,True,2604.48,4,0,0,176.66,n/a
costsim-00089,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,4,1,1,independent_all_resident,1600,992.0,720,96,10808.0,10.555,True,10184.0,1,0,0,77.6,n/a
costsim-00090,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,4,2,2,independent_all_resident,1600,992.0,720,96,10808.0,10.555,True,10184.0,2,0,0,95.6,n/a
costsim-00091,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,4,4,4,independent_all_resident,1600,992.0,720,96,10808.0,10.555,True,10184.0,4,0,0,131.6,n/a
costsim-00092,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,8,1,1,independent_all_resident,1600,992.0,1440,96,11528.0,11.258,True,9464.0,1,0,0,77.6,n/a
costsim-00093,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,8,2,2,independent_all_resident,1600,992.0,1440,96,11528.0,11.258,True,9464.0,2,0,0,95.6,n/a
costsim-00094,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,8,4,4,independent_all_resident,1600,992.0,1440,96,11528.0,11.258,True,9464.0,4,0,0,131.6,n/a
costsim-00095,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,16,1,1,independent_all_resident,1600,992.0,2880,96,12968.0,12.664,True,8024.0,1,0,0,77.6,n/a
costsim-00096,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,16,2,2,independent_all_resident,1600,992.0,2880,96,12968.0,12.664,True,8024.0,2,0,0,95.6,n/a
costsim-00097,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,16,4,4,independent_all_resident,1600,992.0,2880,96,12968.0,12.664,True,8024.0,4,0,0,131.6,n/a
costsim-00098,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,32,1,1,independent_all_resident,1600,992.0,5760,96,15848.0,15.477,True,5144.0,1,0,0,77.6,n/a
